lagged_diff_year_prior_v2x_elecoff,lagged_diff_year_prior_v2elembaut,lagged_v2ellocons,lagged_v2xlg_leginter,lagged_v2clslavem,lagged_v2lginvstp,lagged_diff_year_prior_v2x_neopat,lagged_v2dlconslt,lagged_is_closed_autocracy,lagged_v2x_clpriv
0.0,0.0,1,0,0.558,-2.172,0.0,-1.148,1,0.378
0.0,0.0,11,0,1.383,0.636,0.0,0.981,0,0.82
0.0,-0.7749999999999999,0,0,-1.228,0.0,0.1669999999999999,-0.517,1,0.171
0.0,0.0,22,0,1.891,2.442,0.0,2.447,0,0.94
0.0,0.0,20,0,1.601,2.163,0.0,3.418,0,0.82
0.0,0.0,0,0,1.566,0.0,0.0,-1.101,1,0.314
0.0,0.0,1,0,0.938,-0.901,0.0,-0.472,1,0.366
0.0,0.0,4,0,0.754,1.564,0.0,-0.148,0,0.594
0.0,0.0,1,0,0.213,-1.111,0.009,-0.125,1,0.495
0.0,0.0,6,0,1.161,-0.776,0.009,-0.364,0,0.776
0.0,0.0,0,0,1.556,0.0,-0.002,-1.655,1,0.691
0.0,0.0,9,0,1.49,0.742,0.0,0.037,0,0.796
0.0,0.0,3,0,1.692,-2.282,0.001,0.699,0,0.662
0.0,0.0,3,0,1.582,0.063,0.001,0.844,0,0.562
0.0,0.0,3,0,1.37,0.278,0.0,-0.822,1,0.454
0.0,0.0,18,0,1.309,1.19,0.0,1.711,0,0.905
0.0,0.0,35,0,1.148,2.234,-0.003,1.762,0,0.847
0.0,0.0,9,0,1.723,1.123,-0.001,0.657,0,0.923
0.0,0.0,4,0,2.085,1.15,-0.0089999999999999,1.394,0,0.903
0.0,0.0,3,0,0.514,-0.855,0.0,0.886,0,0.039
0.0,0.0,0,0,-0.415,0.0,-0.02,-1.018,1,0.128
0.125,0.0,14,0,0.695,0.22,0.012,0.358,0,0.487
0.0,0.0,17,0,-1.362,-0.548,0.0,0.338,0,0.114
0.0,0.0,13,0,-1.053,-0.272,0.001,-0.824,1,0.238
0.0,0.0,8,0,-2.317,-1.745,-0.001,-1.467,1,0.001
0.0,0.0,0,0,1.418,0.0,0.036,0.543,1,0.389
0.0,0.0,0,0,1.485,0.0,0.007,-0.649,1,0.79
0.0,0.0,27,0,2.381,2.206,0.0,1.596,0,0.926
0.0,0.0,8,0,1.728,0.883,-0.003,1.706,0,0.912
0.0,0.2539999999999999,0,0,0.722,0.0,0.001,-1.239,1,0.621
0.0,0.0,4,0,1.809,0.844,0.0,0.634,0,0.875
0.0,0.0,8,0,1.721,1.207,0.0,2.386,0,0.944
0.0,0.0,0,0,0.391,0.0,0.001,0.831,1,0.685
0.0,0.0,0,0,1.222,-1.419,0.0,0.573,1,0.5
0.0,-0.8260000000000001,0,0,-0.255,0.0,-0.01,-0.729,1,0.196
0.0,0.0,3,0,0.604,1.003,0.001,2.483,0,0.758
0.0,0.0,8,0,-0.389,-0.579,0.001,-0.463,1,0.491
0.0,0.0,7,0,-0.158,-1.412,0.0,-1.01,1,0.031
0.0,0.0,0,0,1.321,0.0,-0.003,0.167,1,0.8
0.0,0.0,0,0,-1.486,0.0,0.0,-2.461,1,0.074
0.0,0.0,0,0,0.411,0.0,0.0,-0.569,1,0.431
-1.0,-0.0209999999999999,0,1,0.666,0.0,0.047,-0.348,0,0.481
0.0,0.0,3,0,0.545,-0.552,0.0,-1.127,0,0.53
0.0,0.4959999999999998,20,0,2.316,1.259,-0.0019999999999999,1.735,0,0.911
0.0,0.0,0,0,0.431,0.0,0.001,-2.364,1,0.319
0.0,0.0,7,0,-0.168,-1.163,0.002,-0.547,1,0.515
0.0,0.0,10,0,1.641,1.35,0.0049999999999999,1.022,0,0.73
0.0,0.0,0,0,-1.371,-1.271,0.0,-2.2,1,0.006
0.0,0.857,9,0,0.587,1.139,-0.009,-0.278,0,0.604
0.0,0.0,6,0,2.62,1.495,0.0089999999999999,2.158,0,0.892
0.0,0.0,0,0,1.361,0.0,0.0,-1.686,1,0.066
0.0,0.0,2,0,0.487,0.949,-0.006,0.319,0,0.567
0.0,0.0,5,0,0.021,-1.725,0.02,-1.222,1,0.154
1.0,0.0,3,0,-0.352,-1.856,0.008,-1.321,1,0.185
0.0,0.0,10,0,2.788,3.247,-0.001,2.601,0,0.952
0.0,0.0,2,0,-0.518,-2.235,0.004,-1.337,0,0.579
-0.5,0.0,0,1,0.292,0.0,0.037,-1.785,0,0.749
-0.015,0.0,4,0,0.117,-0.393,-0.003,-0.952,1,0.489
0.0,0.0,4,0,-0.678,-2.493,0.001,0.193,0,0.152
0.0,0.0,1,0,-1.313,-2.29,0.0619999999999999,-2.575,0,0.004
0.0,0.0,2,0,-0.34,0.202,0.0,-0.727,1,0.378
0.0,0.0,5,0,-0.998,-1.069,0.007,-1.443,1,0.18
0.0,0.0,21,0,1.622,0.502,-0.005,0.973,0,0.818
0.0,0.0,28,0,2.148,3.045,0.0,1.912,0,0.959
0.0,0.0659999999999998,11,0,1.765,1.846,-0.0099999999999999,2.185,0,0.953
0.0,0.0,3,0,-0.013,-1.02,0.009,-0.728,1,0.479
0.0,0.0,5,0,1.529,-1.964,0.0,-0.077,1,0.366
0.0,0.0,6,0,2.978,2.881,0.0,3.484,0,0.932
0.5,0.0,1,0,0.995,0.912,-0.1559999999999999,0.238,0,0.803
0.0,0.0,0,0,-0.625,0.0,0.0,-2.696,1,0.266
0.0,0.0,2,0,-0.767,-1.509,0.0239999999999999,-0.513,0,0.109
0.0,0.0,3,0,-0.008,-2.054,0.0,-0.744,1,0.307
0.0,0.0,4,0,0.973,-1.45,-0.017,-0.813,0,0.792
0.0,0.0,4,0,-0.733,-1.814,0.0,-0.487,1,0.235
0.0,0.028,0,0,0.424,0.0,-0.003,-0.109,1,0.514
0.0,0.0,7,0,0.295,-1.854,0.0129999999999999,-0.619,1,0.095
0.0,0.0,24,0,2.399,0.652,0.0,0.949,0,0.949
0.0,0.0,4,0,0.527,1.442,0.0279999999999999,1.687,0,0.67
0.0,-0.2769999999999999,0,0,0.544,-1.514,0.0069999999999998,0.877,1,0.266
0.0,0.0,2,0,1.226,-1.053,0.0,-1.616,1,0.423
0.0,0.0,0,0,1.533,0.0,0.007,-0.98,1,0.402
0.0,0.0,17,0,2.156,0.516,0.0,1.091,0,0.916
0.0,0.0,7,0,1.427,1.799,-0.0069999999999999,0.559,0,0.81
0.0,0.0,6,0,1.105,1.956,-0.007,3.353,0,0.869
0.0,0.0,7,0,1.557,0.039,0.001,-0.773,1,0.705
0.0,0.0,13,0,1.353,-0.023,-0.004,1.014,0,0.749
0.0,0.0,26,0,1.882,2.482,0.001,1.113,0,0.908
0.0,0.0,9,0,-0.096,0.588,0.005,0.2,1,0.519
0.065,0.0,16,0,1.027,0.158,0.078,0.244,0,0.46
0.0,0.4069999999999999,2,0,-0.777,1.257,-0.008,1.093,1,0.506
0.0,0.0,7,0,-0.361,0.058,0.003,0.194,0,0.272
0.0,0.0,11,0,1.571,0.408,0.058,0.705,0,0.771
0.0,0.0,0,0,1.822,0.0,0.213,-0.598,0,0.532
0.0,0.0,17,0,-1.411,0.002,0.0,-0.227,1,0.448
0.0,-1.034,0,0,-0.53,0.0,0.3339999999999999,-2.082,1,0.2
0.0,0.0,7,0,2.059,2.166,-0.0129999999999999,2.384,0,0.948
0.0,0.0,3,0,-0.149,-0.592,0.0,-0.454,0,0.488
0.0,0.0,1,0,-0.215,-1.623,0.0,-0.713,0,0.214
0.0,0.0,0,0,0.575,0.0,0.015,0.744,1,0.65
0.0,0.0,1,0,1.37,-2.356,0.002,-1.868,1,0.489
